"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",5.23440350727498e-46,2.61720175363749e-44,1.76830432671752,0.698263644856359,3.36950646231396,200,"TRIP13;ORC6;CDC25B;CSE1L;RFC3;DSCC1;EZH2;KIF18B;MYC;MTHFD2;NME1;KIF2C;UBE2S;PAICS;KPNA2;AURKA;DIAPH3;NOP56;MELK;GINS1;CDCA3;RRM2;LYAR;KIF4A;UBE2T;CTPS1;RAN;CDK4;RANBP1;ATAD2;MYBL2;NOLC1;BIRC5;CNOT9;MCM3;RACGAP1;CCNE1;MAD2L1;CHEK1;BRCA2;PTTG1;PA2G4;CDK1;CKS2;RNASEH2A;NUP107;SPC25;POLD2;PLK1;TOP2A;MCM6;HMGA1;MCM7;MCM4;EXOSC8;BRCA1;PRDX4;BUB1B;SPC24;TIMELESS;GINS4;MCM2;WDR90;NAP1L1;CKS1B;HELLS;CDC25A;CDKN2A;CDKN3;NUP205;CDCA8;SUV39H1;MMS22L;GINS3;DLGAP5;PRIM2;ASF1B;POLA2;TACC3;RAD51AP1;SPAG5;PRPS1;CCNB2;PRKDC;AURKB;DNMT1;CIT;PCNA;DDX39A;ILF3;LIG1;CENPE;SLBP;PLK4;CHEK2;ESPL1;RAD1;CDC20;HMMR;IPO7;SNRPB;SRSF2;RFC2;SYNCRIP;TBRG4;H2AZ1;MKI67;H2AX;STMN1;MRE11;NCAPD2;SSRP1;POLD1;POP7;TUBG1;MSH2;SMC4;TUBB;DCLRE1B;HMGB3;RBBP7;BARD1;NASP;DEPDC1;XPO1;HNRNPD;WEE1;TCF19;TK1;RPA3;PAN2;TMPO;ORC2;PNN;LMNB1"
"HALLMARK_MYC_TARGETS_V1",1.33115535286925e-34,3.32788838217311e-33,1.52970525162309,0.644923571530765,3.11211124620205,200,"XPOT;HSP90AB1;MYC;NME1;HSPD1;IARS1;CDK2;EIF2S2;KPNA2;NOP56;SF3B3;CTPS1;RAN;CDK4;CAD;RANBP1;CDC45;RFC4;GNL3;NOLC1;MAD2L1;EIF3B;CCT2;SET;PA2G4;CCT3;RRP9;NPM1;DDX21;PSMD14;CBX3;POLD2;MCM6;MCM7;MCM4;PRDX4;MCM2;HNRNPA1;NAP1L1;CCT5;CCT4;BUB3;SMARCC1;PWP1;PABPC1;TFDP1;RNPS1;ODC1;RSL1D1;CCNA2;ACP1;ABCE1;SRM;SSBP1;SNRPA1;HDAC2;PPIA;CCT7;PCNA;PSMA7;RPS2;UBA2;CLNS1A;SNRPD1;CDC20;FBL;SRSF2;SYNCRIP;PPM1G;NHP2;DDX18;SRPK1;SRSF7;IMPDH2;ILF2;SSB;PSMA1;HSPE1;EIF4A1;MRPL9;KARS1;TRIM28;PSMB2;PABPC4;H2AZ1;LSM7;RUVBL2;SNRPA;SNRPD2;RPL6;PRPS2;HPRT1;NCBP2;LSM2;PGK1;GLO1;SNRPG;G3BP1;RPLP0;RPS3;EIF1AX;XPO1;RPL14;HNRNPD;PSMA2;POLE3;SNRPB2;APEX1;HDGF;HNRNPC;PSMD7;HNRNPU;RPL18;ORC2;ERH;KPNB1;RPS5;RPS10;HNRNPA2B1;LDHA;DHX15;HNRNPA3;EIF3D;EPRS1;RACK1;CUL1;SRSF1;PTGES3;EIF2S1;RRM1;MCM5;C1QBP;RPS6;DEK;MRPL23;CSTF2;TYMS;VDAC1;EIF3J"
"HALLMARK_G2M_CHECKPOINT",4.41883549335364e-33,7.36472582225606e-32,1.49547932629977,0.63588489387893,3.0684946509762,200,"SLC7A5;ORC6;DKC1;CDC25B;CCND1;TROAP;TPX2;UBE2C;EZH2;MYC;NEK2;BUB1;KIF2C;UBE2S;CCNF;KPNA2;AURKA;RAD54L;KIF23;EXO1;KIF4A;E2F1;CDK4;CDC45;CDC6;MYBL2;NOLC1;BIRC5;MCM3;RACGAP1;CENPA;PRC1;MAD2L1;CHEK1;BRCA2;PTTG1;CDK1;CKS2;TRAIP;PLK1;TOP2A;MCM6;ODF2;HMGA1;SQLE;STIL;DBF4;MCM2;CKS1B;CDC25A;TTK;BUB3;E2F3;CDKN3;SLC12A2;SMARCC1;CENPF;TFDP1;RBL1;ODC1;CCNA2;SUV39H1;POLQ;SLC7A1;PRIM2;DTYMK;NUSAP1;POLA2;TACC3;GINS2;CCNB2;AURKB;CUL4A;DDX39A;ILF3;CENPE;PLK4;ESPL1;SNRPD1;CDC20;HMMR;FBXO5;SRSF2;NCL;SYNCRIP;KIF11;ORC5;CHAF1A;SFPQ;PTTG3P;PRMT5;CDC7;TENT4A;KIF15;H2AZ1;MKI67;H2AX;KIF20B;STMN1;MNAT1;KNL1;TNPO2;SMC4;INCENP;PBK;HMGB3;G3BP1;NDC80;BARD1;NASP;XPO1;HNRNPD;SMC2;E2F4;HNRNPU;TMPO;LMNB1;SAP30;KPNB1"
"HALLMARK_MYC_TARGETS_V2",3.37552643725164e-19,4.21940804656455e-18,1.13308993200902,0.767057574482929,3.0243812001351,58,"BYSL;RCL1;NOP2;WDR43;RRP12;MYC;SORD;HSPD1;NOP56;TMEM97;PUS1;CDK4;GNL3;NOLC1;PRMT3;PA2G4;RRP9;NPM1;CBX3;PPRC1;PLK1;MCM4;IPO4;MRTO4;EXOSC5;TCOF1;SRM;NIP7;LAS1L;MYBBP1A;WDR74;PPAN;PLK4;UTP20;DUSP2;RABEPK;PES1;DDX18;HSPE1;SLC19A1;TBRG4;GRWD1;NOC4L"
"HALLMARK_ADIPOGENESIS",6.44796060386776e-18,6.44796060386776e-17,1.0959292864312,-0.505139699607095,-2.61561206281834,199,"RETSAT;PDCD4;CPT2;ACOX1;ACADS;ELMOD3;MYLK;CAVIN2;HSPB8;RIOK3;SQOR;MGLL;SULT1A1;LIFR;ACAA2;SCP2;LPCAT3;PGM1;TST;IDH3A;GPX3;MGST3;ACADM;ACO2;SPARCL1;SORBS1;APLP2;ITIH5;CYP4B1;ITGA7;ATP1B3;CAT;CMBL;GHITM;HADH;ADCY6;RNF11;EPHX2;MIGA2;CD36;MTARC2;PHYH;SSPN;SUCLG1;CCNG2;DECR1;PPM1B;BCL2L13;ELOVL6;CAVIN1;ENPP2;SNCG;CD302;AGPAT3;ITSN1;HIBCH;STOM;SDHB;GPD2;ECH1;CRAT;ANGPT1;IMMT;DLD;PHLDB1;PPARG;ATP5PO;COQ9;ECHS1;CHCHD10;ARL4A;LEP;CDKN2C;DHRS7;ALDH2;FZD4;ADIPOR2;UQCR10;RREB1;OMD;RTN3;FABP4;SOWAHC;NDUFA5;LTC4S;DBT;IFNGR1;ESRRA"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.7845176353976e-12,1.487098029498e-11,0.910119734774459,-0.453723833826106,-2.35022330019508,200,"RETSAT;ETFDH;CASP7;PDK4;HADHB;HADHA;SLC25A20;CPT1A;ACAT1;ACAA2;MPC1;IDH3A;MGST3;ACADM;ACO2;MFN2;SDHD;MRPL35;ACAA1;AFG3L2;ATP6V1D;PHYH;MAOB;ATP5F1A;SLC25A4;UQCRFS1;SUCLG1;DECR1;NDUFS1;OGDH;ACADVL;ALDH6A1;ACADSB;ETFA;ALAS1;UQCRC2;SLC25A12;SDHA;COX5A;ATP5PB;NDUFC1;NNT;BDH2;ATP5F1B;ATP5PF;MDH1;NDUFS2;ATP5MC3;NDUFB1;SDHB;COX10;ECH1;IMMT;DLD;DLST;NDUFB3;FDX1;CYB5A;ATP5PO;NDUFS4;ECHS1;ISCU;SLC25A11;COX7C;UQCR10;CYCS;NDUFA1;NDUFA5;MRPS11;CYB5R3;NDUFA6;MRPL34;ISCA1;COX7A2;FH;ATP5PD;SLC25A3;COX8A;ATP6V1E1;PDHB;GLUD1;NDUFA2;CS;UQCRC1;ATP5MC1;NDUFV2;HCCS;ATP5F1C;SURF1;ATP5ME;DLAT;COX4I1;ATP5MG;COX17;NDUFB8"
"HALLMARK_MYOGENESIS",1.02121393904794e-11,7.29438527891382e-11,0.875325132024659,-0.449312893468238,-2.30870243239146,190,"PYGM;FHL1;MYOM1;FXYD1;SVIL;MYLK;ADCY9;HSPB8;MYH11;LDB3;GNAO1;TPM2;NCAM1;SH3BGR;GSN;TAGLN;SMTN;LARGE1;CRYAB;ACTA1;GPX3;SORBS1;VIPR1;CASQ2;SPEG;ITGA7;OCEL1;CLU;SGCG;BDKRB2;MEF2D;CACNA1H;MYO1C;DES;CASQ1;DMPK;DMD;CD36;MYL6B;COX7A1;CFD;PPP1R3C;FOXO4;LSP1;SSPN;SGCA;MEF2C;HSPB2;CHRNA1;NOS1;MB;CDKN1A;HRC;SORBS3;SCHIP1;EFS;DENND2B;FGF2;FKBP1B;PDLIM7;CRAT;PRNP;AGL;KCNH1;MEF2A;TNNT3;DTNA;GABARAPL2;BAG1;FLII;SLC6A8;CKB;CKM;SH2B1;PDE4DIP;PC;WWTR1;MYH3;PTGIS;MYH9;MYH2;MAPRE3;LAMA2;DAPK2;RYR1;REEP1;IGF1;CTF1;MYOM2;MYOZ1;KLF5;ACHE"
"HALLMARK_MTORC1_SIGNALING",1.63977672109595e-11,1.02486045068497e-10,0.863415391606693,0.461379821541174,2.22641161646622,200,"TRIB3;SLC7A5;SLC6A6;PSAT1;CCT6A;SCD;MTHFD2;SORD;BUB1;HSPD1;EIF2S2;CCNF;AURKA;SLC7A11;TMEM97;RRM2;GMPS;PPA1;EEF1E1;PSPH;NUFIP1;SHMT2;PNO1;RRP9;PSMD14;PLK1;MCM4;SQLE;MCM2;CDC25A;ASNS;DHCR7;NUP205;STC1;POLR3G;GLA;BHLHE40;DDIT4;SLC2A1;PPIA;STIP1;DDX39A;SERPINH1;PSMG1;ACLY;CACYBP;SLC1A5;HSPE1;PSMC2;ERO1A;TOMM40;ACACA;ABCF2;HPRT1;FADS1;TUBG1;TM7SF2;FADS2;PGK1;PITPNB;ME1;ENO1;GPI;PSMD12;P4HA1;INSIG1;GAPDH;PHGDH;ELOVL5;DDIT3;HMBS;SLC1A4;PSME3;CYB5B;SRD5A1;TUBA4A;HSPA9;LDHA;RDH11;PSMB5;HSP90B1;EPRS1;FDXR;PDAP1"
"HALLMARK_FATTY_ACID_METABOLISM",1.5282763397019e-10,8.49042410945501e-10,0.826657301178302,-0.462528775470099,-2.29804053950306,155,"RETSAT;SLC22A5;ETFDH;PRDX6;CA2;CPT2;ACOX1;TP53INP2;UGDH;HADHB;ACADS;CPT1A;MGLL;SUCLG2;ADH1C;ACAA2;HSD17B11;HPGD;CA4;MAOA;AOC3;ALAD;EHHADH;CD1D;ACADM;ACO2;SDHD;FABP2;SERINC1;AUH;HADH;AQP7;ECI2;ACAA1;HMGCL;CD36;FABP1;SUCLG1;DECR1;ACADVL;HMGCS2;SDHA;HIBCH;GABARAPL1;EPHX1;MDH1;ACOT2;ALDH3A2;PPARA;GPD2;ECH1;CRAT;ALDH9A1;DLD;DLST"
"HALLMARK_HEME_METABOLISM",2.37247026697147e-10,1.18623513348574e-09,0.814035837847908,-0.429175243070299,-2.21353767550831,195,"ABCG2;CA2;ENDOD1;MXI1;MARCHF8;ADD1;CA1;SLC30A10;RIOK3;NCOA4;IGSF3;TRAK2;SLC22A4;TNS1;TMEM9B;ALAD;DCAF11;MGST3;SIDT2;NFE2L1;TENT5C;SLC6A9;KAT2B;GDE1;CAT;GYPC;BSG;ATG4A;LMO2;HBB;OPTN;MARCHF2;SELENBP1;SLC66A2;YPEL5;KLF3;MKRN1;CAST;NR3C1;LRP10;ACKR1;ALDH6A1;EPB42;CLIC2;FECH;SNCA;NNT;SYNJ1;ERMAP;HBD;TRIM10;CCDC28A;HTATIP2;XK;TAL1;FBXO34;HEBP1;LPIN2;ATP6V0A1;SLC6A8;E2F2;PC;KHNYN;PPP2R5B;RHCE;GYPE;SLC30A1;NEK7;EZH1;TRIM58;FBXO7;UBAC1;RNF19A;BMP2K;GATA1;TMCC2;ICAM4;FOXJ2;ISCA1;BTG2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.59987067150892e-09,7.27213941594965e-09,0.788186810800237,0.508743375863017,2.27304888867518,113,"SLC7A5;DKC1;PSAT1;EXOSC2;XPOT;STC2;MTHFD2;IARS1;NOP56;NOLC1;VEGFA;DDX10;RRP9;NOP14;NPM1;CKS1B;CEBPB;EIF4EBP1;ASNS;EXOSC5;SRPRB;DDIT4;CHAC1;ARFGAP1;EXOSC4;NHP2;PREB;EIF4A1;ERO1A;H2AX;IGFBP1;KDELR3;FUS;PAIP1;EXOSC9;SDAD1;PDIA6;SLC1A4;GEMIN4;EIF4A3;HSPA9;LSM4;FKBP14;HSP90B1;EXOSC1;NFYA;TARS1;EIF2S1;WFS1;KHSRP"
"HALLMARK_XENOBIOTIC_METABOLISM",1.97855601789571e-08,8.2439834078988e-08,0.73376198835648,-0.390446001537019,-2.01466787898981,194,"RETSAT;ETFDH;ENTPD5;CA2;TAT;GCNT2;ACOX1;UGDH;PDK4;PAPSS2;PINK1;ADH1C;HSD17B2;NDRG2;HMOX1;SLC35D1;MAOA;CROT;PTGR1;ABHD6;TNFRSF1A;XDH;G6PC1;ACO2;MT2A;SLC46A3;CAT;PPARD;LEAP2;MPP2;CD36;MAN1A1;FABP1;CYP2C18;ACP2;FBLN1;FAS;SAR1B;AOX1;ALAS1;GSTM4;ABCD2;GABARAPL1;EPHX1;ABCC3;ID2;CYP2J2;TMBIM6;DHRS1;ACOX3;PTGDS;ECH1;AKR1C3;PMM1;CDO1;AKR1C2;ALDH9A1;CNDP2;LPIN2;CYP27A1;CYB5A;CBR1;ADH5;DHRS7;ALDH2;UPP1;PC;SERTAD1;ACSM1"
"HALLMARK_BILE_ACID_METABOLISM",1.25204523654274e-07,4.81555860208745e-07,0.690132458796796,-0.45296423961435,-2.09810643126619,110,"PEX26;RETSAT;RXRG;NR3C2;PEX11A;ABCA8;BCAR3;PXMP2;SLC23A1;HSD17B11;SCP2;ABCD3;RXRA;CROT;SULT1B1;NR1H4;CAT;ABCA9;EPHX2;OPTN;PHYH;PEX19;BMP6;PECR;HSD17B6;SLC27A2;ABCD2;ABCA6;TFCP2L1;ABCA5;PAOX;ALDH9A1;AR"
"HALLMARK_UV_RESPONSE_DN",2.88733029006661e-06,1.0311893893095e-05,0.627256739718528,-0.386166991158297,-1.89298078095789,144,"CITED2;PTPN21;PLPP3;MGLL;SRI;ATP2B4;CAP2;LPAR1;RXRA;KCNMA1;CAV1;ZMIZ1;MT1E;SMAD7;WDR37;ATP2B1;SPOP;ARHGEF9;PRKAR2B;FBLN5;NR3C1;KIT;CDON;PMP22;PRKCE;SCHIP1;KALRN;DMAC2L;ITGB3;EFEMP1;TGFBR3;MAGI2;DUSP1;VLDLR;CDC42BPA;PIK3CD;PPARG;SYNE1;ADGRL2;ACVR2A;PTPRM;CACNA1A;MAP1B;NEK7;NFKB1;AMPH;PRKCA;DLC1;BMPR1A;RBPMS;PTEN;SMAD3;MAP2K5;AKT3;ADORA2B;PTGFR;SLC22A18;TOGARAM1;TJP1;RND3;GRK5;SDC2;PDLIM5;DBP;TGFBR2;DLG1"
"HALLMARK_COMPLEMENT",3.46297696642988e-06,1.15432565547663e-05,0.627256739718528,-0.34838955748562,-1.80460710790249,200,"CSRP1;CA2;CASP7;CPM;CALM1;BRPF3;PSEN1;GNG2;CTSS;CASP5;CLU;PRKCD;PPP2CB;DYRK2;CD36;LGALS3;PRSS36;RAF1;CPQ;IRF2;GRB2;CASP10;ZEB1;KCNIP3;KLKB1;C1QA;SCG3;CASP9;PIK3CG;SIRT6;CR2;CTSO;GPD2;GZMA;CALM3;WAS;GNGT2;CFH;C1QC;FCN1;CD40LG;CD59;CCL5;GP1BA;F8;MMP15;CASP3;FDX1;CTSD;EHD1;RBSN;CP;PLAT;ZFPM2;DOCK10;HPCAL4;LGMN;PIK3R5;LIPA;CDA;CR1;RHOG;KLK1;GMFB;USP8;SPOCK2;AKAP10;SH2B3;LTF"
"HALLMARK_DNA_REPAIR",1.13599357626883e-05,3.54997992584009e-05,0.593325476396405,0.405733775120537,1.88194141688724,150,"CCNO;RFC3;POLR2D;POLR1C;NME1;RFC4;RAE1;NELFCD;UMPS;POLR1D;POLA2;FEN1;PCNA;ERCC3;POLB;POLA1;LIG1;RFC2;ALYREF;IMPDH2;POM121;PRIM1;TARBP2;POLR1H;SNAPC4;POLR3C;UPF3B;ADRM1;ZWINT;HPRT1;SSRP1;POLD1;NCBP2;SF3A3;CSTF3;MPG;GTF2H3;BCAP31;ADA;POLR2H;ERCC2;AAAS;TAF1C;RPA3;ITPA;ERCC1;SRSF6;POLR2G;RAD51;TAF9;RFC5;ERCC8;POLR2I;CETN2;SAC3D1;NUDT21;TYMS;APRT;ZNF707;TMED2;POLR2K;GUK1;BOLA2;GTF3C5;PNP;POLR2C;SEC61A1;TP53"
